sim_time, unit_box_Custom?world_angular_velocity/x
0.913, 9.39622e-18
0.914, 1.13279e-17
0.915, 1.77004e-17
0.916, 9.16848e-18
0.917, 7.74203e-18
0.918, 1.51973e-17
0.919, 1.13558e-17
0.92, 9.06285e-18
0.921, 1.0745e-17
0.922, 1.64458e-17
0.923, 9.49568e-18
0.924, 1.11779e-17
0.925, 1.79945e-17
0.926, 1.25929e-17
0.927, 7.61369e-18
0.928, 1.77572e-17
0.929, 9.47483e-18
0.93, 8.93655e-18
0.931, 1.37273e-17
0.932, 1.23008e-17
0.933, 1.29002e-17
0.934, 1.0391e-17
0.935, 1.1651e-17
0.936, 1.2445e-17
0.937, 1.10185e-17
0.938, 1.44989e-17
0.939, 1.12961e-17
0.94, 1.51987e-17
0.941, 1.20176e-17
0.942, 7.92659e-18
0.943, 1.36055e-17
0.944, 9.09233e-18
0.945, 1.12186e-17
0.946, 1.06803e-17
0.947, 1.194e-17
0.948, 1.38717e-17
0.949, 1.09183e-17
0.95, 1.17123e-17
0.951, 1.73913e-17
0.952, 1.15239e-17
0.953, 1.12351e-17
0.954, 1.60475e-17
0.955, 8.40379e-18
0.956, 1.32164e-17
0.957, 9.81898e-18
0.958, 1.32775e-17
0.959, 9.88008e-18
0.96, 1.33605e-17
0.961, 1.41545e-17
0.962, 8.75295e-18
0.963, 8.90823e-18
0.964, 9.70222e-18
0.965, 1.62693e-17
0.966, 1.21783e-17
0.967, 1.58863e-17
0.968, 1.24889e-17
0.969, 6.64322e-18
0.97, 1.36544e-17
0.971, 1.08957e-17
0.972, 1.08234e-17
0.973, 1.42819e-17
0.974, 9.74678e-18
0.975, 1.27831e-17
0.976, 1.13566e-17
0.977, 1.30388e-17
0.978, 1.20783e-17
0.979, 1.46487e-17
0.98, 8.33722e-18
0.981, 1.44821e-17
0.982, 9.75244e-18
0.983, 7.68724e-18
0.984, 1.33662e-17
0.985, 1.59366e-17
0.986, 1.00692e-17
0.987, 8.44816e-18
0.988, 1.54811e-17
0.989, 1.22783e-17
0.99, 9.5412e-18
0.991, 1.05847e-17
0.992, 1.22669e-17
0.993, 1.41985e-17
0.994, 1.01294e-17
0.995, 7.37072e-18
0.996, 1.21832e-17
0.997, 1.27826e-17
0.998, 1.18002e-17
0.999, 1.12619e-17
1, 1.20559e-17
1.001, 1.53198e-17
1.002, 1.25611e-17
1.003, 1.15787e-17
1.004, 1.3705e-17
1.005, 1.53872e-17
1.006, 1.75134e-17
1.007, 1.29783e-17
1.008, 1.244e-17
1.009, 7.46086e-18
1.01, 1.71367e-17
1.011, 1.21575e-17
1.012, 1.33955e-17
1.013, 1.06368e-17
1.014, 1.40953e-17
1.015, 1.17806e-17
1.016, 1.4351e-17
1.017, 1.11481e-17
1.018, 1.28303e-17
1.019, 8.7393e-18
1.02, 1.26419e-17
1.021, 4.99824e-18
1.022, 1.37858e-17
1.023, 1.19153e-17
1.024, 1.09329e-17
1.025, 9.50645e-18
1.026, 1.11886e-17
1.027, 1.86439e-17
1.028, 7.89159e-18
1.029, 1.40146e-17
1.03, 1.03677e-17
1.031, 1.2494e-17
1.032, 1.55084e-17
1.033, 1.27497e-17
1.034, 8.65875e-18
1.035, 1.34495e-17
1.036, 5.80583e-18
1.037, 1.32612e-17
1.038, 7.39384e-18
1.039, 2.10664e-17
1.04, 1.16463e-17
1.041, 1.37726e-17
1.042, 1.27902e-17
1.043, 7.36689e-18
1.044, 1.61545e-17
1.045, 8.51079e-18
1.046, 1.50779e-17
1.047, 1.23192e-17
1.048, 1.44454e-17
1.049, 8.57807e-18
1.05, 1.55893e-17
1.051, 8.83378e-18
1.052, 1.09601e-17
1.053, 1.61949e-17
1.054, 8.99534e-18
1.055, 1.60066e-17
1.056, 1.05833e-17
1.057, 1.27096e-17
1.058, 9.50671e-18
1.059, 1.51856e-17
1.06, 1.2871e-17
1.061, 1.01123e-17
1.062, 1.17945e-17
1.063, 1.34766e-17
1.064, 1.24942e-17
